bin_HH,nEvents,Efficiencies
50,52,0.00104
100,88,0.00176
150,41,0.00082
200,26,0.00052
250,14,0.00028
300,9,0.00018
350,5,0.0001
400,9,0.00018
500,3,6e-05
600,2,4e-05
