bin_HH,nEvents,Efficiencies
50,12,0.00024
70,33,0.00066
80,57,0.00114
90,76,0.00152
100,141,0.00282
120,76,0.00152
140,78,0.00156
160,54,0.00108
180,41,0.00082
200,40,0.0008
220,25,0.0005
240,26,0.00052
260,20,0.0004
280,11,0.00022
300,17,0.00034
320,9,0.00018
340,10,0.0002
360,8,0.00016
400,22,0.00044
500,13,0.00026
600,8,0.00016
700,2,4e-05
800,6,0.00012
