bin_HH,nEvents,Efficiencies
50,1,2e-05
100,0,0
150,2,4e-05
200,1,2e-05
250,1,2e-05
300,1,2e-05
350,3,6e-05
400,3,6e-05
500,3,6e-05
600,19,0.00038
