Bin , nEvents , Efficiencies
152.41,265,0.0053
165.05,330,0.0066
178.75,380,0.0076
193.57,426,0.00852
209.63,484,0.00968
227.02,560,0.0112
245.86,566,0.01132
266.25,657,0.01314
288.34,733,0.01466
312.26,840,0.0168
338.16,813,0.01626
366.21,950,0.019
396.59,1011,0.02022
429.49,1051,0.02102
465.12,1136,0.02272
503.71,1134,0.02268
545.49,1293,0.02586
590.74,1367,0.02734
639.75,1399,0.02798
692.82,1345,0.0269
750.29,1430,0.0286
812.54,1437,0.02874
879.94,1495,0.0299
952.94,1467,0.02934
1032,1391,0.02782
1117.6,1364,0.02728
1210.3,1359,0.02718
1310.7,1164,0.02328
1419.4,1109,0.02218
1537.2,1016,0.02032
1664.7,917,0.01834
1802.8,830,0.0166
1952.4,714,0.01428
2114.3,551,0.01102
2289.7,482,0.00964
2479.7,326,0.00652
