Bin , nEvents , Efficiencies
150,206,0.00412
160,195,0.0039
170,221,0.00442
180,201,0.00402
190,221,0.00442
200,445,0.0089
220,441,0.00882
240,478,0.00956
260,489,0.00978
280,494,0.00988
300,491,0.00982
320,498,0.00996
340,502,0.01004
360,446,0.00892
380,516,0.01032
400,481,0.00962
420,436,0.00872
440,454,0.00908
460,447,0.00894
480,436,0.00872
500,387,0.00774
520,403,0.00806
540,376,0.00752
560,402,0.00804
580,379,0.00758
600,567,0.01134
630,522,0.01044
660,542,0.01084
690,521,0.01042
720,455,0.0091
750,431,0.00862
780,450,0.009
810,416,0.00832
840,392,0.00784
870,385,0.0077
900,562,0.01124
950,531,0.01062
1000,502,0.01004
1050,432,0.00864
1100,434,0.00868
1150,371,0.00742
1200,350,0.007
1250,389,0.00778
1310,332,0.00664
1370,293,0.00586
1430,297,0.00594
1490,260,0.0052
1550,227,0.00454
1610,236,0.00472
1680,187,0.00374
1750,203,0.00406
1820,184,0.00368
1890,174,0.00348
1970,163,0.00326
2050,129,0.00258
