Bin , nEvents , Efficiencies
152.41,654,0.01308
165.05,774,0.01548
178.75,868,0.01736
193.57,952,0.01904
209.63,1024,0.02048
227.02,1135,0.0227
245.86,1194,0.02388
266.25,1157,0.02314
288.34,1231,0.02462
312.26,1300,0.026
338.16,1332,0.02664
366.21,1355,0.0271
396.59,1374,0.02748
429.49,1309,0.02618
465.12,1368,0.02736
503.71,1284,0.02568
545.49,1233,0.02466
590.74,1164,0.02328
639.75,1084,0.02168
692.82,990,0.0198
750.29,929,0.01858
812.54,773,0.01546
879.94,691,0.01382
952.94,610,0.0122
1032,531,0.01062
1117.6,439,0.00878
1210.3,358,0.00716
1310.7,309,0.00618
1419.4,240,0.0048
1537.2,184,0.00368
1664.7,139,0.00278
1802.8,119,0.00238
1952.4,84,0.00168
2114.3,62,0.00124
2289.7,34,0.00068
2479.7,28,0.00056
