bin_HH,nEvents,Efficiencies
150,6,0.00012
200,41,0.00082
250,48,0.00096
300,44,0.00088
350,57,0.00114
400,33,0.00066
450,49,0.00098
500,28,0.00056
550,53,0.00106
650,124,0.00248
