bin_HH,nEvents,Efficiencies
50,4,8e-05
70,12,0.00024
80,19,0.00038
90,35,0.0007
100,53,0.00106
120,48,0.00096
140,56,0.00112
160,49,0.00098
180,49,0.00098
200,47,0.00094
220,53,0.00106
240,34,0.00068
260,39,0.00078
280,30,0.0006
300,44,0.00088
320,33,0.00066
340,32,0.00064
360,40,0.0008
400,106,0.00212
500,65,0.0013
600,49,0.00098
700,31,0.00062
800,56,0.00112
