Bin , nEvents , Efficiencies
152.41,266,0.00532
165.05,277,0.00554
178.75,317,0.00634
193.57,406,0.00812
209.63,412,0.00824
227.02,518,0.01036
245.86,538,0.01076
266.25,650,0.013
288.34,697,0.01394
312.26,698,0.01396
338.16,802,0.01604
366.21,891,0.01782
396.59,951,0.01902
429.49,1098,0.02196
465.12,1090,0.0218
503.71,1153,0.02306
545.49,1182,0.02364
590.74,1246,0.02492
639.75,1257,0.02514
692.82,1382,0.02764
750.29,1482,0.02964
812.54,1428,0.02856
879.94,1447,0.02894
952.94,1458,0.02916
1032,1353,0.02706
1117.6,1359,0.02718
1210.3,1293,0.02586
1310.7,1257,0.02514
1419.4,1112,0.02224
1537.2,1114,0.02228
1664.7,923,0.01846
1802.8,837,0.01674
1952.4,741,0.01482
2114.3,573,0.01146
2289.7,450,0.009
2479.7,412,0.00824
