Bin , nEvents , Efficiencies
152.41,4,8e-05
165.05,4,8e-05
178.75,4,8e-05
193.57,6,0.00012
209.63,9,0.00018
227.02,21,0.00042
245.86,20,0.0004
266.25,26,0.00052
288.34,38,0.00076
312.26,57,0.00114
338.16,85,0.0017
366.21,104,0.00208
396.59,152,0.00304
429.49,143,0.00286
465.12,202,0.00404
503.71,284,0.00568
545.49,283,0.00566
590.74,370,0.0074
639.75,403,0.00806
692.82,511,0.01022
750.29,581,0.01162
812.54,744,0.01488
879.94,887,0.01774
952.94,1020,0.0204
1032,1226,0.02452
1117.6,1474,0.02948
1210.3,1703,0.03406
1310.7,1912,0.03824
1419.4,2243,0.04486
1537.2,2359,0.04718
1664.7,2647,0.05294
1802.8,2736,0.05472
1952.4,2689,0.05378
2114.3,2628,0.05256
2289.7,2300,0.046
2479.7,2023,0.04046
