Bin , nEvents , Efficiencies
152.41,0,0
165.05,0,0
178.75,0,0
193.57,1,2e-05
209.63,1,2e-05
227.02,3,6e-05
245.86,3,6e-05
266.25,0,0
288.34,3,6e-05
312.26,5,0.0001
338.16,10,0.0002
366.21,10,0.0002
396.59,23,0.00046
429.49,40,0.0008
465.12,43,0.00086
503.71,79,0.00158
545.49,127,0.00254
590.74,136,0.00272
639.75,165,0.0033
692.82,210,0.0042
750.29,242,0.00484
812.54,292,0.00584
879.94,347,0.00694
952.94,453,0.00906
1032,502,0.01004
1117.6,608,0.01216
1210.3,740,0.0148
1310.7,880,0.0176
1419.4,1028,0.02056
1537.2,1342,0.02684
1664.7,1650,0.033
1802.8,1864,0.03728
1952.4,2229,0.04458
2114.3,2518,0.05036
2289.7,2724,0.05448
2479.7,2914,0.05828
