Bin , nEvents , Efficiencies
152.41,315,0.0063
165.05,411,0.00822
178.75,471,0.00942
193.57,473,0.00946
209.63,569,0.01138
227.02,652,0.01304
245.86,725,0.0145
266.25,790,0.0158
288.34,808,0.01616
312.26,908,0.01816
338.16,895,0.0179
366.21,1028,0.02056
396.59,1116,0.02232
429.49,1153,0.02306
465.12,1200,0.024
503.71,1274,0.02548
545.49,1298,0.02596
590.74,1258,0.02516
639.75,1289,0.02578
692.82,1404,0.02808
750.29,1390,0.0278
812.54,1348,0.02696
879.94,1306,0.02612
952.94,1361,0.02722
1032,1252,0.02504
1117.6,1128,0.02256
1210.3,1102,0.02204
1310.7,984,0.01968
1419.4,882,0.01764
1537.2,779,0.01558
1664.7,668,0.01336
1802.8,593,0.01186
1952.4,451,0.00902
2114.3,376,0.00752
2289.7,286,0.00572
2479.7,205,0.0041
