bin_HH,nEvents,Efficiencies
150,0,0
200,1,2e-05
250,0,0
300,2,4e-05
350,1,2e-05
400,3,6e-05
450,3,6e-05
500,3,6e-05
550,10,0.0002
650,37,0.00074
