bin_HH,nEvents,Efficiencies
150,53,0.00106
200,119,0.00238
250,131,0.00262
300,133,0.00266
350,163,0.00326
400,119,0.00238
450,122,0.00244
500,241,0.00482
600,162,0.00324
700,129,0.00258
800,86,0.00172
900,76,0.00152
1000,90,0.0018
1150,84,0.00168
