bin_HH,nEvents,Efficiencies
50,7,0.00014
70,5,0.0001
80,4,8e-05
90,6,0.00012
100,9,0.00018
120,3,6e-05
140,14,0.00028
160,10,0.0002
180,6,0.00012
200,6,0.00012
220,14,0.00028
240,10,0.0002
260,3,6e-05
280,10,0.0002
300,9,0.00018
320,8,0.00016
340,5,0.0001
360,23,0.00046
400,34,0.00068
500,45,0.0009
600,39,0.00078
700,37,0.00074
800,134,0.00268
