Bin , nEvents , Efficiencies
152.41,578,0.01156
165.05,664,0.01328
178.75,743,0.01486
193.57,776,0.01552
209.63,967,0.01934
227.02,1028,0.02056
245.86,1071,0.02142
266.25,1074,0.02148
288.34,1180,0.0236
312.26,1206,0.02412
338.16,1324,0.02648
366.21,1347,0.02694
396.59,1403,0.02806
429.49,1318,0.02636
465.12,1281,0.02562
503.71,1313,0.02626
545.49,1294,0.02588
590.74,1247,0.02494
639.75,1198,0.02396
692.82,1096,0.02192
750.29,1031,0.02062
812.54,927,0.01854
879.94,876,0.01752
952.94,807,0.01614
1032,654,0.01308
1117.6,613,0.01226
1210.3,492,0.00984
1310.7,450,0.009
1419.4,341,0.00682
1537.2,290,0.0058
1664.7,219,0.00438
1802.8,174,0.00348
1952.4,142,0.00284
2114.3,102,0.00204
2289.7,60,0.0012
2479.7,59,0.00118
