bin_HH,nEvents,Efficiencies
50,7,0.00014
100,14,0.00028
150,11,0.00022
200,17,0.00034
250,13,0.00026
300,16,0.00032
350,10,0.0002
400,18,0.00036
500,10,0.0002
600,31,0.00062
