Bin , nEvents , Efficiencies
150,40,0.0008
160,42,0.00084
170,55,0.0011
180,61,0.00122
190,63,0.00126
200,127,0.00254
220,147,0.00294
240,168,0.00336
260,186,0.00372
280,191,0.00382
300,201,0.00402
320,209,0.00418
340,206,0.00412
360,234,0.00468
380,242,0.00484
400,257,0.00514
420,269,0.00538
440,229,0.00458
460,243,0.00486
480,306,0.00612
500,276,0.00552
520,267,0.00534
540,309,0.00618
560,296,0.00592
580,315,0.0063
600,434,0.00868
630,448,0.00896
660,439,0.00878
690,421,0.00842
720,423,0.00846
750,406,0.00812
780,430,0.0086
810,418,0.00836
840,448,0.00896
870,448,0.00896
900,707,0.01414
950,718,0.01436
1000,680,0.0136
1050,637,0.01274
1100,633,0.01266
1150,589,0.01178
1200,587,0.01174
1250,652,0.01304
1310,674,0.01348
1370,569,0.01138
1430,561,0.01122
1490,531,0.01062
1550,513,0.01026
1610,553,0.01106
1680,493,0.00986
1750,447,0.00894
1820,421,0.00842
1890,431,0.00862
1970,410,0.0082
2050,337,0.00674
