Bin , nEvents , Efficiencies
150,177,0.00354
160,158,0.00316
170,221,0.00442
180,197,0.00394
190,226,0.00452
200,519,0.01038
220,470,0.0094
240,541,0.01082
260,432,0.00864
280,495,0.0099
300,459,0.00918
320,456,0.00912
340,538,0.01076
360,469,0.00938
380,468,0.00936
400,491,0.00982
420,462,0.00924
440,458,0.00916
460,438,0.00876
480,418,0.00836
500,440,0.0088
520,422,0.00844
540,424,0.00848
560,397,0.00794
580,395,0.0079
600,618,0.01236
630,550,0.011
660,539,0.01078
690,527,0.01054
720,521,0.01042
750,456,0.00912
780,460,0.0092
810,414,0.00828
840,400,0.008
870,397,0.00794
900,571,0.01142
950,522,0.01044
1000,469,0.00938
1050,465,0.0093
1100,440,0.0088
1150,357,0.00714
1200,328,0.00656
1250,355,0.0071
1310,311,0.00622
1370,280,0.0056
1430,265,0.0053
1490,227,0.00454
1550,195,0.0039
1610,228,0.00456
1680,177,0.00354
1750,164,0.00328
1820,149,0.00298
1890,130,0.0026
1970,105,0.0021
2050,105,0.0021
