bin_HH,nEvents,Efficiencies
50,4,8e-05
100,5,0.0001
150,8,0.00016
200,4,8e-05
250,10,0.0002
300,6,0.00012
350,7,0.00014
400,10,0.0002
500,10,0.0002
600,27,0.00054
