Bin , nEvents , Efficiencies
150,983,0.01966
160,887,0.01774
170,819,0.01638
180,743,0.01486
190,686,0.01372
200,1262,0.02524
220,1101,0.02202
240,920,0.0184
260,851,0.01702
280,706,0.01412
300,632,0.01264
320,563,0.01126
340,480,0.0096
360,472,0.00944
380,398,0.00796
400,362,0.00724
420,333,0.00666
440,289,0.00578
460,265,0.0053
480,236,0.00472
500,223,0.00446
520,172,0.00344
540,205,0.0041
560,167,0.00334
580,142,0.00284
600,192,0.00384
630,161,0.00322
660,153,0.00306
690,168,0.00336
720,140,0.0028
750,118,0.00236
780,118,0.00236
810,83,0.00166
840,98,0.00196
870,62,0.00124
900,109,0.00218
950,100,0.002
1000,81,0.00162
1050,72,0.00144
1100,49,0.00098
1150,54,0.00108
1200,56,0.00112
1250,43,0.00086
1310,38,0.00076
1370,27,0.00054
1430,21,0.00042
1490,23,0.00046
1550,12,0.00024
1610,18,0.00036
1680,15,0.0003
1750,11,0.00022
1820,16,0.00032
1890,8,0.00016
1970,6,0.00012
2050,3,6e-05
