Bin , nEvents , Efficiencies
152.41,306,0.00612
165.05,387,0.00774
178.75,441,0.00882
193.57,440,0.0088
209.63,513,0.01026
227.02,613,0.01226
245.86,636,0.01272
266.25,668,0.01336
288.34,815,0.0163
312.26,899,0.01798
338.16,967,0.01934
366.21,889,0.01778
396.59,1070,0.0214
429.49,1134,0.02268
465.12,1109,0.02218
503.71,1195,0.0239
545.49,1296,0.02592
590.74,1274,0.02548
639.75,1379,0.02758
692.82,1376,0.02752
750.29,1468,0.02936
812.54,1414,0.02828
879.94,1411,0.02822
952.94,1331,0.02662
1032,1331,0.02662
1117.6,1272,0.02544
1210.3,1143,0.02286
1310.7,1082,0.02164
1419.4,999,0.01998
1537.2,923,0.01846
1664.7,773,0.01546
1802.8,667,0.01334
1952.4,561,0.01122
2114.3,438,0.00876
2289.7,364,0.00728
2479.7,308,0.00616
