Bin , nEvents , Efficiencies
150,138,0.00276
160,121,0.00242
170,149,0.00298
180,159,0.00318
190,186,0.00372
200,340,0.0068
220,365,0.0073
240,362,0.00724
260,359,0.00718
280,353,0.00706
300,383,0.00766
320,409,0.00818
340,376,0.00752
360,418,0.00836
380,368,0.00736
400,367,0.00734
420,372,0.00744
440,393,0.00786
460,367,0.00734
480,383,0.00766
500,356,0.00712
520,374,0.00748
540,365,0.0073
560,327,0.00654
580,339,0.00678
600,538,0.01076
630,483,0.00966
660,501,0.01002
690,477,0.00954
720,517,0.01034
750,424,0.00848
780,381,0.00762
810,405,0.0081
840,408,0.00816
870,381,0.00762
900,580,0.0116
950,557,0.01114
1000,561,0.01122
1050,514,0.01028
1100,465,0.0093
1150,476,0.00952
1200,412,0.00824
1250,442,0.00884
1310,432,0.00864
1370,395,0.0079
1430,372,0.00744
1490,317,0.00634
1550,339,0.00678
1610,308,0.00616
1680,322,0.00644
1750,269,0.00538
1820,247,0.00494
1890,252,0.00504
1970,214,0.00428
2050,233,0.00466
