Bin , nEvents , Efficiencies
152.41,2,4e-05
165.05,4,8e-05
178.75,3,6e-05
193.57,4,8e-05
209.63,5,0.0001
227.02,12,0.00024
245.86,12,0.00024
266.25,22,0.00044
288.34,46,0.00092
312.26,60,0.0012
338.16,103,0.00206
366.21,130,0.0026
396.59,113,0.00226
429.49,174,0.00348
465.12,184,0.00368
503.71,201,0.00402
545.49,283,0.00566
590.74,344,0.00688
639.75,361,0.00722
692.82,430,0.0086
750.29,560,0.0112
812.54,687,0.01374
879.94,771,0.01542
952.94,1027,0.02054
1032,1178,0.02356
1117.6,1389,0.02778
1210.3,1533,0.03066
1310.7,1885,0.0377
1419.4,2112,0.04224
1537.2,2347,0.04694
1664.7,2378,0.04756
1802.8,2620,0.0524
1952.4,2522,0.05044
2114.3,2311,0.04622
2289.7,2034,0.04068
2479.7,1793,0.03586
