bin_HH,nEvents,Efficiencies
50,1,2e-05
70,11,0.00022
80,12,0.00024
90,12,0.00024
100,39,0.00078
120,40,0.0008
140,40,0.0008
160,38,0.00076
180,37,0.00074
200,52,0.00104
220,33,0.00066
240,43,0.00086
260,37,0.00074
280,31,0.00062
300,32,0.00064
320,37,0.00074
340,24,0.00048
360,59,0.00118
400,121,0.00242
500,113,0.00226
600,81,0.00162
700,65,0.0013
800,191,0.00382
