Bin , nEvents , Efficiencies
152.41,32,0.00064
165.05,35,0.0007
178.75,59,0.00118
193.57,68,0.00136
209.63,75,0.0015
227.02,84,0.00168
245.86,137,0.00274
266.25,156,0.00312
288.34,175,0.0035
312.26,231,0.00462
338.16,254,0.00508
366.21,294,0.00588
396.59,380,0.0076
429.49,414,0.00828
465.12,524,0.01048
503.71,573,0.01146
545.49,708,0.01416
590.74,819,0.01638
639.75,916,0.01832
692.82,1086,0.02172
750.29,1241,0.02482
812.54,1393,0.02786
879.94,1568,0.03136
952.94,1753,0.03506
1032,1941,0.03882
1117.6,2041,0.04082
1210.3,2178,0.04356
1310.7,2188,0.04376
1419.4,2280,0.0456
1537.2,2177,0.04354
1664.7,2002,0.04004
1802.8,1856,0.03712
1952.4,1672,0.03344
2114.3,1406,0.02812
2289.7,1090,0.0218
2479.7,859,0.01718
