Bin , nEvents , Efficiencies
150,212,0.00424
160,203,0.00406
170,227,0.00454
180,247,0.00494
190,243,0.00486
200,524,0.01048
220,467,0.00934
240,537,0.01074
260,514,0.01028
280,555,0.0111
300,509,0.01018
320,520,0.0104
340,507,0.01014
360,500,0.01
380,490,0.0098
400,459,0.00918
420,495,0.0099
440,474,0.00948
460,476,0.00952
480,434,0.00868
500,451,0.00902
520,394,0.00788
540,394,0.00788
560,391,0.00782
580,411,0.00822
600,560,0.0112
630,559,0.01118
660,514,0.01028
690,508,0.01016
720,483,0.00966
750,486,0.00972
780,418,0.00836
810,424,0.00848
840,376,0.00752
870,360,0.0072
900,590,0.0118
950,507,0.01014
1000,477,0.00954
1050,430,0.0086
1100,396,0.00792
1150,316,0.00632
1200,306,0.00612
1250,349,0.00698
1310,310,0.0062
1370,256,0.00512
1430,225,0.0045
1490,193,0.00386
1550,192,0.00384
1610,196,0.00392
1680,146,0.00292
1750,151,0.00302
1820,125,0.0025
1890,123,0.00246
1970,98,0.00196
2050,103,0.00206
