Bin , nEvents , Efficiencies
150,174,0.00348
160,173,0.00346
170,163,0.00326
180,156,0.00312
190,211,0.00422
200,429,0.00858
220,406,0.00812
240,408,0.00816
260,438,0.00876
280,464,0.00928
300,431,0.00862
320,435,0.0087
340,400,0.008
360,445,0.0089
380,377,0.00754
400,446,0.00892
420,400,0.008
440,437,0.00874
460,410,0.0082
480,366,0.00732
500,380,0.0076
520,389,0.00778
540,342,0.00684
560,396,0.00792
580,393,0.00786
600,490,0.0098
630,458,0.00916
660,453,0.00906
690,492,0.00984
720,476,0.00952
750,402,0.00804
780,429,0.00858
810,398,0.00796
840,385,0.0077
870,357,0.00714
900,617,0.01234
950,565,0.0113
1000,527,0.01054
1050,480,0.0096
1100,425,0.0085
1150,429,0.00858
1200,383,0.00766
1250,454,0.00908
1310,374,0.00748
1370,339,0.00678
1430,348,0.00696
1490,271,0.00542
1550,264,0.00528
1610,293,0.00586
1680,242,0.00484
1750,227,0.00454
1820,239,0.00478
1890,203,0.00406
1970,215,0.0043
2050,150,0.003
