bin_HH,nEvents,Efficiencies
50,12,0.00024
70,4,8e-05
80,5,0.0001
90,6,0.00012
100,12,0.00024
120,12,0.00024
140,14,0.00028
160,10,0.0002
180,15,0.0003
200,11,0.00022
220,5,0.0001
240,9,0.00018
260,13,0.00026
280,7,0.00014
300,11,0.00022
320,10,0.0002
340,7,0.00014
360,15,0.0003
400,48,0.00096
500,53,0.00106
600,35,0.0007
700,45,0.0009
800,285,0.0057
