Bin , nEvents , Efficiencies
150,172,0.00344
160,158,0.00316
170,160,0.0032
180,189,0.00378
190,196,0.00392
200,392,0.00784
220,376,0.00752
240,418,0.00836
260,453,0.00906
280,430,0.0086
300,452,0.00904
320,462,0.00924
340,434,0.00868
360,434,0.00868
380,427,0.00854
400,424,0.00848
420,403,0.00806
440,453,0.00906
460,404,0.00808
480,388,0.00776
500,424,0.00848
520,382,0.00764
540,422,0.00844
560,364,0.00728
580,403,0.00806
600,534,0.01068
630,545,0.0109
660,541,0.01082
690,470,0.0094
720,496,0.00992
750,455,0.0091
780,428,0.00856
810,459,0.00918
840,421,0.00842
870,403,0.00806
900,602,0.01204
950,566,0.01132
1000,555,0.0111
1050,513,0.01026
1100,435,0.0087
1150,456,0.00912
1200,410,0.0082
1250,400,0.008
1310,401,0.00802
1370,339,0.00678
1430,323,0.00646
1490,328,0.00656
1550,266,0.00532
1610,271,0.00542
1680,284,0.00568
1750,252,0.00504
1820,216,0.00432
1890,203,0.00406
1970,187,0.00374
2050,177,0.00354
