bin_HH,nEvents,Efficiencies
50,37,0.00074
70,19,0.00038
80,10,0.0002
90,12,0.00024
100,19,0.00038
120,25,0.0005
140,14,0.00028
160,23,0.00046
180,30,0.0006
200,24,0.00048
220,13,0.00026
240,23,0.00046
260,26,0.00052
280,24,0.00048
300,22,0.00044
320,14,0.00028
340,14,0.00028
360,31,0.00062
400,73,0.00146
500,53,0.00106
600,50,0.001
700,54,0.00108
800,180,0.0036
