bin_HH,nEvents,Efficiencies
50,15,0.0003
70,25,0.0005
80,53,0.00106
90,48,0.00096
100,101,0.00202
120,81,0.00162
140,44,0.00088
160,35,0.0007
180,34,0.00068
200,21,0.00042
220,16,0.00032
240,19,0.00038
260,7,0.00014
280,6,0.00012
300,14,0.00028
320,8,0.00016
340,3,6e-05
360,4,8e-05
400,14,0.00028
500,7,0.00014
600,2,4e-05
700,2,4e-05
800,1,2e-05
