bin_HH,nEvents,Efficiencies
150,0,0
200,0,0
250,0,0
300,0,0
350,0,0
400,0,0
450,1,2e-05
500,7,0.00014
600,6,0.00012
700,10,0.0002
800,14,0.00028
900,15,0.0003
1000,27,0.00054
1150,95,0.0019
