bin_HH,nEvents,Efficiencies
150,0,0
200,0,0
250,0,0
300,1,2e-05
350,0,0
400,3,6e-05
450,4,8e-05
500,12,0.00024
600,19,0.00038
700,22,0.00044
800,20,0.0004
900,28,0.00056
1000,64,0.00128
1150,116,0.00232
