Bin , nEvents , Efficiencies
150,2,4e-05
160,0,0
170,1,2e-05
180,0,0
190,0,0
200,0,0
220,0,0
240,3,6e-05
260,4,8e-05
280,7,0.00014
300,5,0.0001
320,3,6e-05
340,7,0.00014
360,10,0.0002
380,11,0.00022
400,23,0.00046
420,22,0.00044
440,24,0.00048
460,33,0.00066
480,21,0.00042
500,38,0.00076
520,31,0.00062
540,49,0.00098
560,24,0.00048
580,39,0.00078
600,66,0.00132
630,79,0.00158
660,71,0.00142
690,79,0.00158
720,102,0.00204
750,82,0.00164
780,103,0.00206
810,93,0.00186
840,113,0.00226
870,110,0.0022
900,203,0.00406
950,232,0.00464
1000,234,0.00468
1050,239,0.00478
1100,252,0.00504
1150,311,0.00622
1200,307,0.00614
1250,386,0.00772
1310,381,0.00762
1370,391,0.00782
1430,413,0.00826
1490,447,0.00894
1550,445,0.0089
1610,622,0.01244
1680,607,0.01214
1750,671,0.01342
1820,638,0.01276
1890,779,0.01558
1970,770,0.0154
2050,764,0.01528
