Bin , nEvents , Efficiencies
152.41,360,0.0072
165.05,404,0.00808
178.75,456,0.00912
193.57,531,0.01062
209.63,536,0.01072
227.02,613,0.01226
245.86,698,0.01396
266.25,801,0.01602
288.34,816,0.01632
312.26,894,0.01788
338.16,904,0.01808
366.21,989,0.01978
396.59,1068,0.02136
429.49,1132,0.02264
465.12,1181,0.02362
503.71,1241,0.02482
545.49,1256,0.02512
590.74,1242,0.02484
639.75,1286,0.02572
692.82,1364,0.02728
750.29,1327,0.02654
812.54,1348,0.02696
879.94,1335,0.0267
952.94,1338,0.02676
1032,1221,0.02442
1117.6,1252,0.02504
1210.3,1197,0.02394
1310.7,1061,0.02122
1419.4,881,0.01762
1537.2,850,0.017
1664.7,723,0.01446
1802.8,629,0.01258
1952.4,571,0.01142
2114.3,465,0.0093
2289.7,385,0.0077
2479.7,274,0.00548
