bin_HH,nEvents,Efficiencies
150,0,0
200,0,0
250,3,6e-05
300,6,0.00012
350,15,0.0003
400,18,0.00036
450,19,0.00038
500,54,0.00108
600,55,0.0011
700,64,0.00128
800,58,0.00116
900,42,0.00084
1000,69,0.00138
1150,120,0.0024
