bin_HH,nEvents,Efficiencies
50,2,4e-05
70,2,4e-05
80,7,0.00014
90,10,0.0002
100,37,0.00074
120,52,0.00104
140,36,0.00072
160,39,0.00078
180,32,0.00064
200,35,0.0007
220,40,0.0008
240,39,0.00078
260,33,0.00066
280,32,0.00064
300,31,0.00062
320,45,0.0009
340,37,0.00074
360,60,0.0012
400,123,0.00246
500,123,0.00246
600,94,0.00188
700,60,0.0012
800,203,0.00406
