bin_HH,nEvents,Efficiencies
150,0,0
200,1,2e-05
250,1,2e-05
300,2,4e-05
350,4,8e-05
400,6,0.00012
450,8,0.00016
500,13,0.00026
550,44,0.00088
650,468,0.00936
