bin_HH,nEvents,Efficiencies
50,2,4e-05
70,2,4e-05
80,2,4e-05
90,5,0.0001
100,4,8e-05
120,5,0.0001
140,6,0.00012
160,6,0.00012
180,6,0.00012
200,9,0.00018
220,6,0.00012
240,8,0.00016
260,7,0.00014
280,6,0.00012
300,3,6e-05
320,4,8e-05
340,6,0.00012
360,8,0.00016
400,19,0.00038
500,30,0.0006
600,18,0.00036
700,22,0.00044
800,55,0.0011
