Bin , nEvents , Efficiencies
152.41,236,0.00472
165.05,283,0.00566
178.75,298,0.00596
193.57,368,0.00736
209.63,440,0.0088
227.02,526,0.01052
245.86,567,0.01134
266.25,665,0.0133
288.34,694,0.01388
312.26,757,0.01514
338.16,890,0.0178
366.21,905,0.0181
396.59,965,0.0193
429.49,1047,0.02094
465.12,1130,0.0226
503.71,1135,0.0227
545.49,1195,0.0239
590.74,1354,0.02708
639.75,1383,0.02766
692.82,1378,0.02756
750.29,1375,0.0275
812.54,1467,0.02934
879.94,1458,0.02916
952.94,1406,0.02812
1032,1384,0.02768
1117.6,1321,0.02642
1210.3,1333,0.02666
1310.7,1246,0.02492
1419.4,1136,0.02272
1537.2,1035,0.0207
1664.7,874,0.01748
1802.8,807,0.01614
1952.4,652,0.01304
2114.3,535,0.0107
2289.7,427,0.00854
2479.7,316,0.00632
