Bin , nEvents , Efficiencies
152.41,218,0.00436
165.05,271,0.00542
178.75,351,0.00702
193.57,398,0.00796
209.63,425,0.0085
227.02,490,0.0098
245.86,479,0.00958
266.25,589,0.01178
288.34,668,0.01336
312.26,726,0.01452
338.16,812,0.01624
366.21,867,0.01734
396.59,940,0.0188
429.49,983,0.01966
465.12,1094,0.02188
503.71,1122,0.02244
545.49,1160,0.0232
590.74,1228,0.02456
639.75,1387,0.02774
692.82,1386,0.02772
750.29,1458,0.02916
812.54,1424,0.02848
879.94,1415,0.0283
952.94,1461,0.02922
1032,1419,0.02838
1117.6,1496,0.02992
1210.3,1277,0.02554
1310.7,1265,0.0253
1419.4,1147,0.02294
1537.2,1072,0.02144
1664.7,1012,0.02024
1802.8,869,0.01738
1952.4,773,0.01546
2114.3,644,0.01288
2289.7,574,0.01148
2479.7,430,0.0086
