Bin , nEvents , Efficiencies
150,404,0.00808
160,395,0.0079
170,437,0.00874
180,446,0.00892
190,380,0.0076
200,836,0.01672
220,766,0.01532
240,801,0.01602
260,830,0.0166
280,725,0.0145
300,702,0.01404
320,693,0.01386
340,654,0.01308
360,667,0.01334
380,586,0.01172
400,576,0.01152
420,569,0.01138
440,520,0.0104
460,464,0.00928
480,460,0.0092
500,466,0.00932
520,426,0.00852
540,381,0.00762
560,364,0.00728
580,320,0.0064
600,525,0.0105
630,489,0.00978
660,419,0.00838
690,406,0.00812
720,355,0.0071
750,356,0.00712
780,295,0.0059
810,277,0.00554
840,276,0.00552
870,234,0.00468
900,320,0.0064
950,267,0.00534
1000,278,0.00556
1050,203,0.00406
1100,194,0.00388
1150,179,0.00358
1200,129,0.00258
1250,158,0.00316
1310,129,0.00258
1370,139,0.00278
1430,100,0.002
1490,83,0.00166
1550,61,0.00122
1610,75,0.0015
1680,45,0.0009
1750,59,0.00118
1820,47,0.00094
1890,32,0.00064
1970,26,0.00052
2050,29,0.00058
