Bin , nEvents , Efficiencies
150,1,2e-05
160,0,0
170,0,0
180,0,0
190,0,0
200,1,2e-05
220,2,4e-05
240,0,0
260,2,4e-05
280,2,4e-05
300,1,2e-05
320,1,2e-05
340,3,6e-05
360,3,6e-05
380,2,4e-05
400,2,4e-05
420,7,0.00014
440,3,6e-05
460,14,0.00028
480,13,0.00026
500,9,0.00018
520,14,0.00028
540,33,0.00066
560,32,0.00064
580,32,0.00064
600,49,0.00098
630,53,0.00106
660,53,0.00106
690,53,0.00106
720,74,0.00148
750,63,0.00126
780,76,0.00152
810,76,0.00152
840,66,0.00132
870,70,0.0014
900,140,0.0028
950,141,0.00282
1000,134,0.00268
1050,159,0.00318
1100,186,0.00372
1150,215,0.0043
1200,186,0.00372
1250,261,0.00522
1310,245,0.0049
1370,259,0.00518
1430,298,0.00596
1490,288,0.00576
1550,345,0.0069
1610,454,0.00908
1680,438,0.00876
1750,473,0.00946
1820,476,0.00952
1890,600,0.012
1970,653,0.01306
2050,630,0.0126
