bin_HH,nEvents,Efficiencies
50,13,0.00026
100,10,0.0002
150,8,0.00016
200,6,0.00012
250,6,0.00012
300,6,0.00012
350,1,2e-05
400,13,0.00026
500,7,0.00014
600,33,0.00066
