bin_HH,nEvents,Efficiencies
150,0,0
200,1,2e-05
250,0,0
300,3,6e-05
350,10,0.0002
400,6,0.00012
450,15,0.0003
500,26,0.00052
600,36,0.00072
700,32,0.00064
800,34,0.00068
900,29,0.00058
1000,34,0.00068
1150,71,0.00142
