bin_HH,nEvents,Efficiencies
50,20,0.0004
100,20,0.0004
150,19,0.00038
200,16,0.00032
250,13,0.00026
300,20,0.0004
350,11,0.00022
400,27,0.00054
500,32,0.00064
600,273,0.00546
