Standard Model,ND
109882.92,110639
221661.08,221583
159934.31,159006
79889.74,80017
68467.53,68861
35621.32,35453
19691.93,19601
11351.06,11321
6878.49,6805
4382.67,4366
2869.07,2893
1971.25,1947
1375.57,1439
995.67,1012
723.26,696
560.6,588
395.85,409
549.89,554
619.69,622
212.18,203
85.58,86
41.15,37
41.41,36
