bin_HH,nEvents,Efficiencies
150,105,0.0021
200,119,0.00238
250,101,0.00202
300,78,0.00156
350,53,0.00106
400,38,0.00076
450,30,0.0006
500,34,0.00068
600,31,0.00062
700,7,0.00014
800,10,0.0002
900,2,4e-05
1000,6,0.00012
1150,3,6e-05
