Bin , nEvents , Efficiencies
152.41,1855,0.0371
165.05,1788,0.03576
178.75,1530,0.0306
193.57,1535,0.0307
209.63,1395,0.0279
227.02,1192,0.02384
245.86,1077,0.02154
266.25,942,0.01884
288.34,844,0.01688
312.26,754,0.01508
338.16,658,0.01316
366.21,604,0.01208
396.59,499,0.00998
429.49,420,0.0084
465.12,355,0.0071
503.71,301,0.00602
545.49,223,0.00446
590.74,218,0.00436
639.75,194,0.00388
692.82,155,0.0031
750.29,109,0.00218
812.54,94,0.00188
879.94,77,0.00154
952.94,57,0.00114
1032,64,0.00128
1117.6,27,0.00054
1210.3,24,0.00048
1310.7,22,0.00044
1419.4,16,0.00032
1537.2,8,0.00016
1664.7,9,0.00018
1802.8,6,0.00012
1952.4,3,6e-05
2114.3,4,8e-05
2289.7,0,0
2479.7,1,2e-05
