Bin , nEvents , Efficiencies
152.41,531,0.01062
165.05,670,0.0134
178.75,726,0.01452
193.57,789,0.01578
209.63,907,0.01814
227.02,970,0.0194
245.86,997,0.01994
266.25,1041,0.02082
288.34,1071,0.02142
312.26,1157,0.02314
338.16,1212,0.02424
366.21,1253,0.02506
396.59,1213,0.02426
429.49,1247,0.02494
465.12,1270,0.0254
503.71,1208,0.02416
545.49,1233,0.02466
590.74,1213,0.02426
639.75,1225,0.0245
692.82,1163,0.02326
750.29,1075,0.0215
812.54,1021,0.02042
879.94,901,0.01802
952.94,871,0.01742
1032,814,0.01628
1117.6,703,0.01406
1210.3,609,0.01218
1310.7,503,0.01006
1419.4,448,0.00896
1537.2,384,0.00768
1664.7,272,0.00544
1802.8,244,0.00488
1952.4,203,0.00406
2114.3,146,0.00292
2289.7,103,0.00206
2479.7,83,0.00166
