Bin , nEvents , Efficiencies
152.41,704,0.01408
165.05,798,0.01596
178.75,828,0.01656
193.57,908,0.01816
209.63,998,0.01996
227.02,1062,0.02124
245.86,1126,0.02252
266.25,1215,0.0243
288.34,1189,0.02378
312.26,1302,0.02604
338.16,1333,0.02666
366.21,1277,0.02554
396.59,1328,0.02656
429.49,1296,0.02592
465.12,1193,0.02386
503.71,1216,0.02432
545.49,1207,0.02414
590.74,1167,0.02334
639.75,1133,0.02266
692.82,1024,0.02048
750.29,939,0.01878
812.54,829,0.01658
879.94,780,0.0156
952.94,589,0.01178
1032,569,0.01138
1117.6,487,0.00974
1210.3,374,0.00748
1310.7,297,0.00594
1419.4,260,0.0052
1537.2,188,0.00376
1664.7,155,0.0031
1802.8,139,0.00278
1952.4,91,0.00182
2114.3,75,0.0015
2289.7,47,0.00094
2479.7,41,0.00082
