Bin , nEvents , Efficiencies
152.41,497,0.00994
165.05,601,0.01202
178.75,684,0.01368
193.57,772,0.01544
209.63,815,0.0163
227.02,899,0.01798
245.86,924,0.01848
266.25,1046,0.02092
288.34,1023,0.02046
312.26,1075,0.0215
338.16,1150,0.023
366.21,1252,0.02504
396.59,1199,0.02398
429.49,1195,0.0239
465.12,1231,0.02462
503.71,1248,0.02496
545.49,1203,0.02406
590.74,1236,0.02472
639.75,1173,0.02346
692.82,1107,0.02214
750.29,1082,0.02164
812.54,985,0.0197
879.94,953,0.01906
952.94,943,0.01886
1032,802,0.01604
1117.6,730,0.0146
1210.3,680,0.0136
1310.7,576,0.01152
1419.4,526,0.01052
1537.2,418,0.00836
1664.7,343,0.00686
1802.8,267,0.00534
1952.4,239,0.00478
2114.3,191,0.00382
2289.7,120,0.0024
2479.7,112,0.00224
