bin_HH,nEvents,Efficiencies
150,1,2e-05
200,1,2e-05
250,8,0.00016
300,0,0
350,3,6e-05
400,2,4e-05
450,6,0.00012
500,2,4e-05
550,7,0.00014
650,20,0.0004
