bin_HH,nEvents,Efficiencies
50,0,0
70,6,0.00012
80,9,0.00018
90,20,0.0004
100,32,0.00064
120,27,0.00054
140,30,0.0006
160,36,0.00072
180,41,0.00082
200,33,0.00066
220,46,0.00092
240,39,0.00078
260,37,0.00074
280,29,0.00058
300,39,0.00078
320,30,0.0006
340,41,0.00082
360,65,0.0013
400,146,0.00292
500,113,0.00226
600,103,0.00206
700,77,0.00154
800,207,0.00414
