Bin , nEvents , Efficiencies
152.41,308,0.00616
165.05,406,0.00812
178.75,436,0.00872
193.57,525,0.0105
209.63,584,0.01168
227.02,641,0.01282
245.86,718,0.01436
266.25,790,0.0158
288.34,853,0.01706
312.26,870,0.0174
338.16,986,0.01972
366.21,1122,0.02244
396.59,1081,0.02162
429.49,1187,0.02374
465.12,1201,0.02402
503.71,1252,0.02504
545.49,1308,0.02616
590.74,1324,0.02648
639.75,1459,0.02918
692.82,1431,0.02862
750.29,1348,0.02696
812.54,1401,0.02802
879.94,1317,0.02634
952.94,1236,0.02472
1032,1222,0.02444
1117.6,1115,0.0223
1210.3,1075,0.0215
1310.7,1009,0.02018
1419.4,883,0.01766
1537.2,778,0.01556
1664.7,656,0.01312
1802.8,600,0.012
1952.4,468,0.00936
2114.3,359,0.00718
2289.7,311,0.00622
2479.7,261,0.00522
