Bin , nEvents , Efficiencies
152.41,403,0.00806
165.05,503,0.01006
178.75,570,0.0114
193.57,615,0.0123
209.63,712,0.01424
227.02,782,0.01564
245.86,824,0.01648
266.25,965,0.0193
288.34,1036,0.02072
312.26,1004,0.02008
338.16,1127,0.02254
366.21,1216,0.02432
396.59,1273,0.02546
429.49,1332,0.02664
465.12,1344,0.02688
503.71,1459,0.02918
545.49,1504,0.03008
590.74,1332,0.02664
639.75,1425,0.0285
692.82,1436,0.02872
750.29,1331,0.02662
812.54,1259,0.02518
879.94,1177,0.02354
952.94,1086,0.02172
1032,1027,0.02054
1117.6,882,0.01764
1210.3,809,0.01618
1310.7,732,0.01464
1419.4,603,0.01206
1537.2,490,0.0098
1664.7,398,0.00796
1802.8,309,0.00618
1952.4,243,0.00486
2114.3,194,0.00388
2289.7,170,0.0034
2479.7,118,0.00236
