bin_HH,nEvents,Efficiencies
150,38,0.00076
200,132,0.00264
250,146,0.00292
300,151,0.00302
350,136,0.00272
400,128,0.00256
450,112,0.00224
500,190,0.0038
600,175,0.0035
700,126,0.00252
800,106,0.00212
900,100,0.002
1000,97,0.00194
1150,118,0.00236
