Bin , nEvents , Efficiencies
150,3,6e-05
160,2,4e-05
170,1,2e-05
180,7,0.00014
190,10,0.0002
200,19,0.00038
220,26,0.00052
240,38,0.00076
260,62,0.00124
280,64,0.00128
300,64,0.00128
320,86,0.00172
340,79,0.00158
360,78,0.00156
380,91,0.00182
400,91,0.00182
420,98,0.00196
440,115,0.0023
460,126,0.00252
480,110,0.0022
500,119,0.00238
520,120,0.0024
540,123,0.00246
560,159,0.00318
580,163,0.00326
600,240,0.0048
630,253,0.00506
660,258,0.00516
690,273,0.00546
720,256,0.00512
750,267,0.00534
780,274,0.00548
810,353,0.00706
840,338,0.00676
870,323,0.00646
900,600,0.012
950,653,0.01306
1000,664,0.01328
1050,681,0.01362
1100,701,0.01402
1150,648,0.01296
1200,641,0.01282
1250,784,0.01568
1310,824,0.01648
1370,736,0.01472
1430,801,0.01602
1490,735,0.0147
1550,677,0.01354
1610,820,0.0164
1680,721,0.01442
1750,710,0.0142
1820,635,0.0127
1890,673,0.01346
1970,613,0.01226
2050,598,0.01196
