Bin , nEvents , Efficiencies
150,1230,0.0246
160,1106,0.02212
170,921,0.01842
180,866,0.01732
190,687,0.01374
200,1228,0.02456
220,914,0.01828
240,829,0.01658
260,656,0.01312
280,572,0.01144
300,488,0.00976
320,368,0.00736
340,350,0.007
360,277,0.00554
380,226,0.00452
400,224,0.00448
420,180,0.0036
440,183,0.00366
460,143,0.00286
480,127,0.00254
500,106,0.00212
520,92,0.00184
540,87,0.00174
560,94,0.00188
580,64,0.00128
600,93,0.00186
630,90,0.0018
660,68,0.00136
690,45,0.0009
720,53,0.00106
750,39,0.00078
780,38,0.00076
810,41,0.00082
840,36,0.00072
870,26,0.00052
900,48,0.00096
950,23,0.00046
1000,31,0.00062
1050,23,0.00046
1100,34,0.00068
1150,16,0.00032
1200,13,0.00026
1250,15,0.0003
1310,8,0.00016
1370,10,0.0002
1430,7,0.00014
1490,10,0.0002
1550,2,4e-05
1610,3,6e-05
1680,5,0.0001
1750,4,8e-05
1820,4,8e-05
1890,1,2e-05
1970,2,4e-05
2050,1,2e-05
