Bin , nEvents , Efficiencies
150,5,0.0001
160,11,0.00022
170,7,0.00014
180,13,0.00026
190,15,0.0003
200,33,0.00066
220,58,0.00116
240,54,0.00108
260,65,0.0013
280,69,0.00138
300,82,0.00164
320,87,0.00174
340,90,0.0018
360,93,0.00186
380,108,0.00216
400,130,0.0026
420,114,0.00228
440,130,0.0026
460,127,0.00254
480,118,0.00236
500,123,0.00246
520,133,0.00266
540,143,0.00286
560,148,0.00296
580,145,0.0029
600,233,0.00466
630,235,0.0047
660,233,0.00466
690,277,0.00554
720,256,0.00512
750,239,0.00478
780,268,0.00536
810,281,0.00562
840,293,0.00586
870,324,0.00648
900,510,0.0102
950,519,0.01038
1000,515,0.0103
1050,528,0.01056
1100,534,0.01068
1150,539,0.01078
1200,541,0.01082
1250,662,0.01324
1310,605,0.0121
1370,576,0.01152
1430,658,0.01316
1490,593,0.01186
1550,612,0.01224
1610,713,0.01426
1680,628,0.01256
1750,612,0.01224
1820,574,0.01148
1890,691,0.01382
1970,648,0.01296
2050,589,0.01178
