bin_HH,nEvents,Efficiencies
150,48,0.00096
200,103,0.00206
250,109,0.00218
300,75,0.0015
350,85,0.0017
400,70,0.0014
450,57,0.00114
500,89,0.00178
600,66,0.00132
700,45,0.0009
800,28,0.00056
900,26,0.00052
1000,23,0.00046
1150,21,0.00042
