bin_HH,nEvents,Efficiencies
50,38,0.00076
100,26,0.00052
150,16,0.00032
200,15,0.0003
250,19,0.00038
300,32,0.00064
350,19,0.00038
400,29,0.00058
500,40,0.0008
600,223,0.00446
