bin_HH,nEvents,Efficiencies
150,0,0
200,0,0
250,0,0
300,4,8e-05
350,4,8e-05
400,5,0.0001
450,4,8e-05
500,13,0.00026
600,12,0.00024
700,14,0.00028
800,19,0.00038
900,22,0.00044
1000,15,0.0003
1150,28,0.00056
